Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,SigNum,MetaES
,126,0.430,0.210,0.148,0.001,Lt_CONa_Temp-Rt-Thal,0.429525138,0.2097458,0.147598293,0,0.261506149
,127,0.085,0.209,0.018,0.001,Lt_CONa_IPS-Lt_CONa_PFCd,-0.084686848,-0.208870131,0.018177273,0,-0.091585511
,128,0.017,0.310,0.099,0.001,Lt_CONa_IPS-Lt_CONa_PFCl,0.017021483,-0.310147122,0.098741998,0,-0.064961531
,129,0.276,0.289,0.041,0.001,Lt_CONa_IPS-Lt_CONa_PFClv,0.275628158,-0.28859028,-0.040917873,0,-0.018453911
,130,0.022,0.014,0.300,0.001,Lt_CONa_IPS-Lt_CONa_Cinga,-0.021894599,0.013952206,-0.300459548,0,-0.103184965
,131,0.326,0.081,0.140,0.001,Lt_CONa_IPS-Lt_CONb_Temp,0.326233766,0.080726837,-0.140483879,0,0.08838207
,132,0.015,0.016,0.065,0.001,Lt_CONa_IPS-Lt_CONb_IPL,-0.014820814,0.015713898,0.06546271,0,0.025688138
,133,0.046,0.249,0.307,0.001,Lt_CONa_IPS-Lt_CONb_PFCd,0.045609313,-0.248518371,-0.307237787,0,-0.170779677
,134,0.001,0.058,0.166,0.001,Lt_CONa_IPS-Lt_CONb_PFCl,-0.001030044,-0.058212303,0.166421453,0,0.035625707
,135,0.236,0.186,0.062,0.001,Lt_CONa_IPS-Lt_CONb_PFClv,-0.235887283,-0.185982042,-0.061652757,0,-0.159779149
,136,0.037,0.186,0.114,0.001,Lt_CONa_IPS-Lt_CONb_PFCmp,-0.036722995,-0.186280434,-0.114231981,0,-0.11475744
,137,0.035,0.100,0.119,0.001,Lt_CONa_IPS-Lt_CONc_pCun,-0.035428435,0.100177861,-0.118703224,0,-0.018734538
,138,0.049,0.001,0.057,0.001,Lt_CONa_IPS-Lt_CONc_Cingp,-0.048962371,-0.001468664,-0.05694219,0,-0.033815783
,139,0.025,0.095,0.177,0.001,Lt_CONa_IPS-Rt_CONa_Temp,-0.024875247,-0.095078143,-0.177374869,0,-0.101260068
,140,0.193,0.205,0.114,0.001,Lt_CONa_IPS-Rt_CONa_IPS,-0.193099339,-0.204524106,-0.113772987,0,-0.168233148
,141,0.260,0.200,0.251,0.001,Lt_CONa_IPS-Rt_CONa_PFCd,-0.260453226,-0.199524378,-0.250999402,0,-0.234845531
,142,0.015,0.179,0.177,0.001,Lt_CONa_IPS-Rt_CONa_PFCl,0.015227854,-0.178957854,-0.177226063,0,-0.115604622
,143,0.027,0.267,0.144,0.001,Lt_CONa_IPS-Rt_CONa_Cinga,0.027081506,-0.266536103,-0.143576081,0,-0.128357969
,144,0.019,0.104,0.176,0.001,Lt_CONa_IPS-Rt_CONb_Temp,0.019151755,-0.104117807,-0.175913854,0,-0.088612218
,145,0.135,0.156,0.079,0.001,Lt_CONa_IPS-Rt_CONb_IPL,-0.134785096,-0.156102339,-0.078769439,0,-0.121123977
,146,0.060,0.071,0.076,0.001,Lt_CONa_IPS-Rt_CONb_PFCld,0.059611136,-0.07068673,-0.075702481,0,-0.031713904
,147,0.030,0.014,0.019,0.001,Lt_CONa_IPS-Rt_CONb_PFClv,-0.030082779,0.013941788,-0.018699946,0,-0.011092726
,148,0.133,0.230,0.091,0.001,Lt_CONa_IPS-Rt_CONb_PFCmp,-0.133071509,-0.229653513,-0.09059614,0,-0.150537669
,149,0.195,0.127,0.176,0.001,Lt_CONa_IPS-Rt_CONc_pCun,-0.195423083,0.126593384,-0.176182067,0,-0.082036036
,150,0.069,0.123,0.040,0.001,Lt_CONa_IPS-Rt_CONc_Cingp,-0.069361347,-0.12282685,-0.039879469,0,-0.077743337
,151,0.094,0.040,0.127,0.001,Lt_CONa_IPS-Lt_DMNa_IPL,-0.094085408,-0.039841234,-0.126981769,0,-0.087258143
,152,0.126,0.019,0.055,0.001,Lt_CONa_IPS-Lt_DMNa_PFCd,-0.126066023,0.01940828,0.055141278,0,-0.015321062
